Date,District,Cases
5/22/2020,Munshiganj,149
5/22/2020,Mymensing,5
5/22/2020,Naogaon,47
5/22/2020,Narail,2
5/22/2020,Narayanganj,105
5/22/2020,Narsingdi,0
5/22/2020,Natore,0
5/22/2020,Netrokona,27
5/22/2020,Nilphamari,16
5/22/2020,Noakhali,93
5/22/2020,Pabna,7
5/22/2020,Panchagarh,5
5/22/2020,Patuakhali,6
5/22/2020,Pirojpur,4
5/22/2020,Rajbari,0
5/22/2020,Rajshahi,0
5/22/2020,Rangamati,3
5/22/2020,Rangpur,2
5/22/2020,Satkhira,3
5/22/2020,Shariatpur,0
5/22/2020,Sherpur,12
5/22/2020,Sirajganj,0
5/22/2020,Sunamganj,18
5/22/2020,Sylhet,107
5/22/2020,Tangail,6
5/22/2020,Thakurgaon,10
5/21/2020,Bagerhat,2
5/21/2020,Bandarban,0
5/21/2020,Barguna,4
5/21/2020,Barishal,3
5/21/2020,Bhola,0
5/21/2020,Bogura,27
5/21/2020,Brahmmanbaria,20
5/21/2020,Chandpur,4
5/21/2020,Chapai Nawabganj,3
5/21/2020,Chattogram,235
5/21/2020,Chuadanga,0
5/21/2020,Cox s Bazar,51
5/21/2020,Cumilla,25
5/21/2020,Dhaka,1182
5/21/2020,Dinajpur,16
5/21/2020,Faridpur,27
5/21/2020,Feni,2
5/21/2020,Gaibandha,0
5/21/2020,Gazipur,22
5/21/2020,Gopalganj,0
5/21/2020,Habiganj,21
5/21/2020,Jamalpur,23
5/21/2020,Jashore,0
5/21/2020,Jhalakhati,1
5/21/2020,Jhenaidah,1
5/21/2020,Joypurhat,1
5/21/2020,Khagrachhari,13
5/21/2020,Khulna,8
5/21/2020,Kishoreganj,3
5/21/2020,Kurigram,2
5/21/2020,Kushtia,0
5/21/2020,Lakshmipur,0
5/21/2020,Lalmonirhat,0
5/21/2020,Madaripur,1
5/21/2020,Magura,1
5/21/2020,Manikganj,11
5/21/2020,Meherpur,0
5/21/2020,Moulvibazar,27
5/21/2020,Munshiganj,32
5/21/2020,Mymensing,24
5/21/2020,Naogaon,1
5/21/2020,Narail,4
